profile_id,job_title,country,start_date,end_date,company,position_in_career
13,Managing Director,romania,2008-02,,Man and Machine Romania,4
13,Director Of Sales Marketing,romania,2005-09,2008-02,,3
13,GIS Product Manager,romania,1999-03,2005-09,,2
13,Computer Aided Design Engineer,romania,1994-06,1999-03,Ministry of Public Works and Territory Planning,1
14,Senior Software Development Engineer,romania,2024-03,,Orange Services,3
14,Software Engineer,romania,2014-10,2024-02,Orange Romania,2
14,Web Developer Intern,romania,2013-06,2013-09,CBN IT Business Solutions,1
15,Team Manager,romania,2024-02,,Emposo,7
15,Full Stack Developer,romania,2023-06,,Emposo,6
15,Full Stack Developer,romania,2022-03,2023-06,Hays Technology Solutions Romania,5
15,Software Engineer - Python Developer,romania,2020-08,2022-03,Expleo Group,4
15,Recruitment Specialist,romania,2018-05,2020-08,,3
15,Recruitment Officer,romania,2017-06,2020-08,EPLO (European Public Law Organization),2
15,Intern,romania,2015-07,2015-09,EPLO (European Public Law Organization),1
16,Information Technology Application Manager,romania,2024-11,,Raiffeisen Tech Romania,7
16,IT Application Owner / OCR platform / Shared Applications and Services,romania,2023-02,2024-11,Deutsche Bank,6
16,Application Management Support Engineer / Robotics&OCR / ShAPS / TDI,romania,2022-02,2023-03,,5
16,Application Support Specialist,romania,2021-02,2022-01,Luxoft,4
16,Junior Systems Engineer,romania,2020-01,2021-01,Microgreens Romania,3
16,Junior Systems Engineer,romania,2019-10,2019-12,Microsera,2
16,Technical Intern,romania,2019-06,2019-09,,1
17,Program Manager,romania,2021-03,,Paddy Power Betfair,5
17,Project Manager,romania,2010-02,,,4
17,Java Developer,romania,2008-01,2010-03,,3
17,Java Developer,romania,2007,2008,ISDC,2
17,Developer,romania,2006-10,2007-12,ISDC Romania,1
18,Software Engineer,romania,2024-12,,Flightloop,3
18,Software Developer,romania,2023-07,2024-11,Scorebuzzer,2
18,Software Engineer Internship,romania,2022-12,2023-06,iLabs,1
19,Software Test Engineer,romania,2022-12,,E.ON Software Development,5
19,Test Engineer,romania,2021-12,2023-02,NTT DATA,4
19,Test Engineer,romania,2021-06,2021-12,Signant Health,3
19,Software Test Engineer,romania,2020-12,2021-06,UniCredit Services,2
19,Quality Assurance Specialist,romania,2018-11,2020-12,"Xivic, Inc.",1
20,Software Engineer,romania,2025-12,,T-Systems International,4
20,Software Engineer,romania,2023-12,2025-11,MHP – A Porsche Company,3
20,Software Engineer,romania,2021-11,2023-11,Deutsche Bank,2
20,Software Engineer Intern,romania,2021-07,2021-10,,1
21,Software Engineer,romania,2025-10,,Google,4
21,Software Engineer,romania,2023-07,2025-10,Deutsche Bank,3
21,Junior Software Developer,romania,2022-09,2023-05,Ceragon Networks,2
21,Intern Software Developer,romania,2022-07,2022-09,Ceragon Networks,1
22,Software Engineer,romania,2023-09,,Deutsche Bank,3
22,Student,romania,2023-03,2023-09,DB Cloud School,2
22,Intern,romania,2022-07,2022-08,OMV Petrom,1
23,Software Development Team Lead,romania,2025-09,,AUMOVIO,5
23,Conti Teacher for Tech Club for Children,romania,2021-08,2025-09,Continental,4
23,Continental Ambassador,romania,2019-04,2025-09,Continental,3
23,Software Development Team Leader,romania,2018-04,2025-09,Continental,2
23,Software Engineer,romania,2013-07,2018-04,Continental,1
24,Software Developer,romania,2021-12,,Adobe,4
24,Software Engineer Intern,romania,2023-07,2023-12,Adobe,3
24,Junior Instructor,romania,2022-03,2023-09,Academia Cisco UPB,2
24,Software Engineer Intern,romania,2022-06,2022-09,Dell Technologies,1
25,Java Software Engineer,romania,2025-11,,Mindera,4
25,Java Software Developer,romania,2017-11,2025-11,Endava,3
25,Software Developer,romania,2015-05,2017-05,Siemens,2
25,Software Developer,romania,2011-10,2015-04,Accenture,1
26,Senior Software Development Engineer,romania,2025-03,,Adobe,4
26,Software Development Engineer,romania,2020-12,2025-03,Adobe,3
26,Software Engineer Intern,romania,2020-07,2020-10,Adobe,2
26,Software Engineer Intern,romania,2019-07,2019-10,Adobe,1
27,Software Developer,romania,2022-07,,Deutsche Bank,2
27,Student,romania,2022-03,2022-05,Cegeka,1
28,Software Developer,romania,2025-07,,Deutsche Bank,1
29,Software Engineer,romania,2024-10,,Bandwidth Inc.,5
29,Software Engineer,romania,2022-11,2024-10,Ness Digital Engineering,4
29,Software Engineer,romania,2021-04,2022-10,Mambu,3
29,Back End Developer,romania,2019-06,2021-04,CGM Software Romania,2
29,Working Student,romania,2018-09,2019-03,Continental,1
30,Software Development Engineer,romania,2025-05,,Orange,3
30,Junior Software Development Engineer,romania,2022-09,2025-05,Orange,2
30,Full-stack Developer Intern,romania,2021-07,2021-09,Else Digital Solutions,1
31,Software Development Engineer,romania,2025-01,,Adobe,3
31,Software Engineer Intern,romania,2024-07,2024-12,Adobe,2
31,Big Data Developer,romania,2022-06,2023-09,Orange Services,1
32,C++/C# Developer,romania,2025-02,,Cognyte,5
32,Software Engineer,romania,2024-02,2025-01,Luxoft,4
32,Software Engineer,romania,2023-03,2024-01,Luxoft,3
32,Software Engineer,romania,2021-11,2023-03,Luxoft,2
32,Intern,romania,2021-07,2021-09,Luxoft,1
33,Software Development Team Lead,romania,2019-09,,Arezzo Sky,3
33,Software Developer,romania,2013-03,2019-08,Optymyze,2
33,Software Developer Engineer,romania,2012-08,2012-12,Amazon,1
34,Embedded Software Engineer,romania,2023-08,,ifm,6
34,Ambassador,romania,2023-02,2023-08,Continental,5
34,Software Development Engineer,romania,2021-12,2023-08,Continental,4
34,Conti Teacher,romania,2022-09,2023-05,Continental,3
34,Internship,romania,2021-11,2022-02,Nagarro,2
34,Junior Software developer,romania,2019-06,2020-05,Bertrandt,1
35,Senior Full Stack Software Developer,romania,2015-09,,TOPMOTIVE Gruppe,2
35,Software Developer,romania,2012-09,2015-09,Sysgenic,1
36,Software Development Engineer,romania,2024-04,,Magna Electronics Limited,3
36,Junior Software Engineer,romania,2023-08,2024-03,Vitesco Technologies,2
36,Software Internship for Control Technology Customer SW,romania,2022-07,2023-07,,1
37,Software Developer,romania,2023-03,,UniCredit,4
37,Junior Software Developer,romania,2022-11,2023-02,UniCredit,3
37,Software Development Engineer,romania,2021-07,2022-02,Ambit Group AG,2
37,Intern,romania,2020-07,2020-09,IT LABS RD,1
38,Software Development Engineer,romania,2022-08,,Adobe,3
38,Software Engineer Intern,romania,2021-10,2022-07,Adobe,2
38,Software Engineer Intern,romania,2021-07,2021-09,Adobe,1
39,Senior Java Software Engineer,romania,2021-01,,Lottoland,4
39,Java Developer,romania,2018-07,2021-01,Lottoland,3
39,Java Developer,romania,2014-08,2018-06,Paddy Power Betfair,2
39,Internship,romania,2012-07,2012-10,Nokia,1
40,Senior Software Developer,romania,2024-09,,Libra Internet Bank,6
40,Software Development Engineer,romania,2018-04,2024-07,Bento - Intellectually Curious,5
40,Software Developer,romania,2015-09,2018-04,TotalSoft,4
40,Software Developer,romania,2014-08,2015-09,Sustainalytics,3
40,Software Developer,romania,2013-04,2014-08,Squant Development,2
40,Software Developer,romania,2011-10,2013-04,Indaco Systems,1
41,Software Engineer,romania,2026-01,,Ford Motor Company,3
41,Associate Software Engineer,romania,2025-10,2026-01,Deutsche Bank,2
41,Analyst Software Engineer,romania,2023-07,2025-10,Deutsche Bank,1
42,Software Engineer,romania,2022-08,,Deutsche Bank,1
43,Senior Software Developer,romania,2018-06,,SOFTEH PLUS,1
44,Software Engineer,romania,2021-09,,EPAM System,5
44,AEM Developer,romania,2021-09,,EPAM System,4
44,Trainee,romania,2021-03,2021-08,EPAM System,3
44,Student,romania,2020-09,2021-02,EPAM System,2
44,Internship,romania,2020-09,2021-02,EPAM System,1
45,Software Engineer,romania,2025-07,,Deutsche Bank,4
45,Software Engineer Intern,romania,2025-04,2025-06,AROBS Engineering,3
45,DevOps Engineer,romania,2024-08,2024-10,ING Hubs Romania,2
45,NOC Engineer,romania,2023-11,2024-08,Revel,1
46,Solutions Engineer,romania,2024-01,2025-11,Retool,5
46,Software Engineer,romania,2022-10,2023-01,Meta,4
46,Software Engineer Intern,romania,2021-05,2021-08,Facebook,3
46,Software Engineer Intern,romania,2020-05,2020-08,Facebook,2
46,Facebook University Engineering Intern,romania,2019-06,2019-08,Facebook,1
47,Software Developer,romania,2023-03,,Blue Kitsunebi,1
48,Senior Software Developer,romania,2023-06,,Tremend Software Consulting,6
48,Senior Software Engineer,romania,2021-11,2023-05,Endava,5
48,Software Developer,romania,2010-09,2021-11,DRÄXLMAIER Group,4
48,Freelancer,romania,2011-06,2013-04,SWS eMarketing,3
48,Intern,romania,2010-03,2010-05,Dacia,2
48,Junior Programmer,romania,2009-02,2009-10,SC GO BUSINESS SOLUTION SRL,1
49,System Software Engineer,romania,2024-10,,New Business Dimensions,5
49,Business Intelligence Consultant,romania,2022-08,2024-09,msg Plaut Romania,4
49,Appian Certified Associate Developer,romania,2022-01,2022-08,Crystal System,3
49,Technical Consultant,romania,2019-04,2022-08,Crystal System S.R.L,2
49,Programmer,romania,2022-03,2022-07,,1
50,Java Developer,romania,2025-03,,Coface,4
50,Software Engineer,romania,2022-08,2025-03,Dell Technologies,3
50,Software Engineer Intern,romania,2022-02,2022-08,Dell Technologies,2
50,Full-stack Developer,romania,2021-09,2021-10,AQUASoft,1
51,Software Developer,romania,2024-04,,Sitline Technology,5
51,Web Developer,romania,2023-08,2023-12,Solf Tech IT Group Solutions,4
51,Web Development Trainee,romania,2023-07,2023-08,IBM,3
51,Volunteer Software Developer,romania,2021-09,2023-07,ArtByte,2
51,Web Development Trainee,romania,2022-03,2022-04,IBM,1
52,Advanced Software Engineer,romania,2026-03,,BearingPoint,6
52,Software Engineer,romania,2025-03,2026-02,BearingPoint,5
52,Frontend Developer,romania,2023-12,2025-02,BearingPoint,4
52,Frontend Intern,romania,2023-05,2023-11,BearingPoint,3
52,Web Development Instructor,romania,2023-01,2023-04,Software Development Academy,2
52,Jury Member,romania,2020-11,2022-12,ADFABER,1
53,Senior Software Engineer,romania,2025-01,,Adobe,6
53,Software Engineer,romania,2023-07,,Adobe,5
53,Software Engineer,romania,2017-05,2023-07,Adobe,4
53,Software Consultant,romania,2016-03,2017-05,ALTEN,3
53,Analyst,romania,2014,2016-03,Axway,2
53,Programming Assistant,romania,2013-06,2014-05,Intel Corporation,1
54,Software Engineer,romania,2024-03,,4PSA,4
54,SQA Automation Engineer,romania,2021-07,,4PSA,3
54,SQA Automation Engineer,romania,2021-02,2021-06,4PSA,2
54,SQA Engineer Intern,romania,2020-11,2021-01,4PSA,1
55,Software Engineer,romania,2025-03,,Electronic Arts (EA),9
55,Embedded Software Engineer,romania,2023-10,2024-12,HTEC Group,8
55,Technical Lead / Product Owner,romania,2022-02,2023-10,HARMAN International,7
55,Technical Team Lead,romania,2020-12,2022-02,HARMAN International,6
55,Senior Engineer,romania,2017-01,2020-12,HARMAN International,5
55,Senior Technical Consultant,romania,2016-04,2017-01,Misys,4
55,C++ Developer,romania,2014-02,2016-04,Luxoft,3
55,Software Engineer in Test,romania,2012-11,2014-02,Electronic Arts,2
55,Software Engineer,romania,2011-07,2012-08,Misys Banking Systems,1
56,Software Development Lead,romania,2019-06,,Anylyze,4
56,Software Testing Lead,romania,2018-10,2019-06,Arezzo Sky,3
56,Senior Software Test Engineer,romania,2014-07,2018-10,Arezzo Sky,2
56,Software Automation Test Developer,romania,2011-08,2014-07,Arezzo Sky,1
57,Senior Software Engineer,romania,2021-09,,Endava,3
57,Software Engineer,romania,2017,2021,Ministry of National Defence - Romania,2
57,.NET Developer,romania,2020,2020,Freelancer,1
58,Frontend Developer,romania,2024-09,,,14
58,Frontend Developer,romania,2023-08,2024-09,Luxoft,13
58,Developer,romania,2022-12,2023-05,Endava,12
58,Junior Developer,romania,2021-08,2022-11,Luxoft,11
58,Trainee,romania,2020-08,2021-11,Te Fac Programator,10
58,Junior Software Developer,romania,2021-04,2021-07,UNICORN IT SERVICES,9
58,Junior Backend Developer,romania,2021-02,2021-04,UNICORN IT SERVICES,8
58,Trainee at School for .NET,romania,2021-02,2021-03,Endava,7
58,Geographic Information System Specialist,romania,2019-01,2020-07,AECOM,6
58,Master Data Analyst,romania,2018-10,2018-12,Molson Coors,5
58,Researcher,romania,2017-07,2018-10,BRAT - Biroul Roman de Audit Transmedia,4
58,Research Assistant,romania,2016-03,2017-09,Centre for Environmental Research and Impact Studies - CCMESI,3
58,Geographic Information System Specialist,romania,2016-02,2016-05,AECOM,2
58,Geographic Information System Specialist,romania,2014-07,2014-12,AECOM,1
59,MES MOM Associate,romania,2024-08,2024-09,Accenture Romania,3
59,Junior Software Developer,romania,2022-09,2023-03,ArtSoft Consult,2
59,Software Developer,romania,2022-07,2022-08,ArtSoft Consult,1
60,Software Test Engineer II,romania,2023-09,,Suvoda,3
60,Software Test Engineer I,romania,2022-09,2023-09,Suvoda,2
60,Software Testing Intern,romania,2022-06,2022-09,Suvoda,1
61,Software Developer,romania,2021-08,,NetRom Software,3
61,Summer Intern,romania,2021-06,2021-07,NetRom Software,2
61,Intern,romania,2021-05,2021-06,NetRom Software,1
62,Software Developer,romania,2025-02,,Dennemeyer,7
62,Software Developer,romania,2021-11,2025-02,Waters Corporation,6
62,Volunteer,romania,2018-10,2022-01,Board of European Students of Technology,5
62,Treasurer and Corporate Relations Department Coordinator,romania,2020-07,2021-06,Board of European Students of Technology,4
62,Main Organizer of BEST Course in Summer 2021,romania,2019-09,2020-10,Board of European Students of Technology,3
62,Software Developer Intern,romania,2021-02,2021-07,PeoplePower Romania,2
62,Intern,romania,2020-07,2020-10,Kronsoft Development,1
63,Senior Software Consultant,romania,2021-06,,Self-employed,7
63,Senior Software Engineer,romania,2022-10,2025-10,Ding,6
63,Senior Software Engineer,romania,2021-12,2022-07,Soolutions,5
63,Senior Software Engineer,romania,2017-11,2021-05,Lateral Inc.,4
63,Java Software Engineer,romania,2016-04,2017-11,Paddy Power Betfair,3
63,Java Web Developer,romania,2015-03,2016-04,Bosch Group Romania,2
63,Freelance Web Developer,romania,2013-08,2015-03,PFA,1
64,Senior Software Engineer,romania,2022-08,,Luminos Labs,5
64,Full-Stack Developer,romania,2019-09,2024-08,OPEN,4
64,Full-stack Developer,romania,2018-08,2019-09,Soft Pepper,3
64,Student Intern,romania,2018-03,2018-04,Soft Pepper,2
64,Key Account,romania,2016-06,2016-11,Advice Group Media,1
65,Java Developer,romania,2018-09,,Endava,4
65,Java Software Developer,romania,2017-08,2018-08,Tangoe,3
65,Software Engineer Team Lead - Technical Support Team,romania,2015-05,2017-06,Asentinel,2
65,Software Engineer - Level 3 Technical Support,romania,2013-08,2015-05,,1
66,Web Developer,romania,2020-09,2026-01,easyBoard GmbH,3
66,Software Engineer,romania,2016-09,2020-09,Lynx Solutions SRL,2
66,Full-stack Developer,romania,2014-10,2016-09,InnoWEB Solutions SRL,1
67,Software Developer,romania,2023-06,,Orange Services,3
67,Frontend Developer,romania,2019-07,2023-06,Levi9 Romania,2
67,Web Developer Internship,romania,2018-07,2018-08,Sigma AppDev,1
68,Software Engineer,romania,2022-02,,,11
68,Programmer,romania,2019-01,2019-12,Expert IT Solutions,10
68,Programmer,romania,2019-06,2019-10,Gloobus,9
68,Programmer,romania,2018-02,2018-03,AdamsVision,8
68,Programmer,romania,2017-06,2018-02,X-Data,7
68,Software Developer,romania,2017-01,2017-04,Elastoffice Hungary Ltd.,6
68,Ios Developer,romania,2016-11,2016-11,appforte,5
68,Full Stack Developer,romania,2016-06,2016-10,Primal Skill,4
68,Sales Representative,romania,2016-01,2016-10,Nu Skin Enterprises,3
68,Web developer,romania,2013,2015-08,RoundAssist Inc.,2
68,Developer,romania,2013,2015,VoiceMailTel,1
69,Software Development Engineer II,romania,2023-08,,Amazon,5
69,Senior Software Engineer C++,romania,2017-11,2023-08,TiVo Romania Engineering Center (TREC),4
69,"Software Engineer C++, QT",romania,2014-08,2017-11,Continental,3
69,"Software Engineer Internship C++, Qt",romania,2013-07,2013-09,Continental,2
69,Software Developer Internship C++,romania,2012-11,2013-04,Comodo,1
70,Software Engineering Sr. Analyst,romania,2014-04,,Accenture Industrial Software Solutions,2
70,Software Engineer,romania,2011-10,2014-03,evoline Professional Services,1
71,Software Engineer,romania,2024-02,,Murex,3
71,Junior Software Engineer,romania,2022,2024,Deutsche Bank,2
71,Junior Software Engineer,romania,2021-09,2022-03,Thales,1
72,Development Team Lead,romania,2015-09,,TOPMOTIVE Gruppe,3
72,Software Developer,romania,2015-09,2024-10,DVSE GmbH,2
72,Software Developer,romania,2010-11,2015-09,Sysgenic,1
73,Software Engineer,romania,2024-04,,Booking Holdings,4
73,Software Engineer,romania,2023-01,2024-03,ALTEN Delivery Center Romania,3
73,Software Engineer,romania,2022-10,2023-01,Capgemini Engineering,2
73,Junior Software Developer,romania,2019-07,2022-09,Ericsson,1
74,Freelance Software Engineer,romania,2012-10,2025-05,Evoline,4
74,Software Engineer,romania,2012-10,2025-05,Evoline,3
74,Freelance Software Engineer,romania,2025-05,,,2
74,Intern,romania,2012-07,2012-08,Evoline,1
75,Software Engineer,romania,2025-09,,Randstad Digital Romania,4
75,Technology Graduate Associate,romania,2024-09,2025-08,,3
75,Junior Software Engineer,romania,2023-11,2024-08,Randstad Digital Romania,2
75,Software Engineer Intern,romania,2023-06,2023-08,JPMorgan Chase & Co.,1
76,Junior Java Software Engineer,romania,2025-08,,ING Hubs Romania,6
76,Java Edition Intern,romania,2025-04,2025-06,ING Hubs Romania,5
76,Director of Incoming Business Internships,romania,2024-01,2025-02,AIESEC,4
76,Director of Outgoing Business Internships,romania,2023-08,2024-01,AIESEC,3
76,Project Manager of Outgoing Volunteering Exchanges,romania,2023-02,2023-07,AIESEC,2
76,Team Member of Incoming Volunteering Exchanges,romania,2022-10,2023-02,AIESEC in Bucharest,1
77,Software Developer,romania,2014-08,,Deutsche Bank,4
77,Consultant,romania,2009-12,2014-08,Misys,3
77,IT Specialist,romania,2007-10,2009-12,IBM,2
77,Java Programmer,romania,2007-07,2007-10,IT Media Connect,1
78,Low Code Developer,romania,2024-10,,THE DIGITAL MINE,3
78,Junior Chatbot Developer,romania,2024-06,2024-09,Expleo Group,2
78,Low Code Unqork Developer,romania,2021-10,2024-05,Expleo Group,1
79,Power Platform Developer,romania,2024,,Atos,2
79,Business Intelligence Developer,romania,2020,2022,Continental,1
80,OutSystems Developer,romania,2023-09,,MassMutual Romania,5
80,OutSystems Developer,romania,2022-06,2023-08,Deloitte Digital,4
80,OutSystems Developer,romania,2020-06,2022-06,Samskip,3
80,PHP Developer,romania,2020-02,2020-04,evozon,2
80,Intern,romania,2019-06,2019-06,Yonder,1
81,OutSystems Developer,romania,2023-03,,Providit,6
81,OutSystems Developer,romania,2021-10,2023-03,Cegeka,5
81,OutSystems Developer,romania,2022-03,2022-12,SABS,4
81,OutSystems Developer,romania,2019-08,2021-10,Yonder,3
81,Intern,romania,2019-06,2019-07,Yonder,2
81,Summer Intern,romania,2018-07,2018-08,Halcyon Mobile,1
82,Low Code Developer,romania,2024-07,,Codeless Technology B.V.,3
82,QA Engineer,romania,2022-08,2023-10,,2
82,Quality Assurance Intern,romania,2022-05,2022-07,,1
83,Business Developer (Digital & Data Projects),romania,2024-11,2026-02,Boman Education Academy,5
83,Low Code Developer,romania,2024-03,2024-06,Codeless Technology B.V. | Romania,4
83,Server,romania,2023-06,2023-10,Lucky Beaver Bar and Grill,3
83,Sale Associate,romania,2022-06,2022-11,Powder House,2
83,Server,romania,2022-06,2022-11,Margaritaville,1
84,Mendix Developer,romania,2023-07,,SCHWARZ IT ROMANIA,2
84,Low Code Developer,romania,2022-02,2023-07,Mendify Romania,1
85,Project Manager,romania,2025-05,,Digital Nation,4
85,Function Developer,romania,2023-03,,Continental,3
85,Administrative Secretary,romania,2011-02,2023-03,Mitropolia Moldovei și Bucovinei,2
85,QA Tester,romania,2022-08,2022-10,eJobs Romania,1
86,Junior Software Engineer,romania,2022-07,,eSolutions.tech,2
86,Junior Low-code Developer,romania,2022-03,2022-06,Encorsa,1
87,Low-code Developer,romania,2025-03,,Creative Projects,4
87,Intern .Net & Angular,romania,2024-08,2024-09,red to blue,3
87,Intern Java & TypeScript,romania,2023-07,2023-10,fme Romania,2
87,Intern Frontend Developer,romania,2022-07,2022-09,Endava,1
88,Low Code Developer,romania,2024-06,,Codeless Technology B.V.,4
88,Low Code Developer Trainee,romania,2024-03,2024-05,Codeless Technology B.V.,3
88,Intern,romania,2022-10,2023-01,Centric IT Solutions Romania,2
88,Intern,romania,2022-07,2022-07,VEO Worldwide Services,1
89,Low code developer,romania,2023-09,,Codeless Technology B.V.,5
89,Low code Internship,romania,2023-07,2023-09,Codeless Technology B.V.,4
89,Student,romania,2020,2023,FEAA - Facultatea de Economie și Administrarea Afacerilor din Iași,3
89,Saleswoman,romania,2022-07,2022-09,SC BSB FASHION SRL,2
89,Saleswoman,romania,2021-06,2021-09,SC BSB FASHION SRL,1
90,Low Code Developer,romania,2022-11,,Codeless Technology B.V.,1
91,Low Code Developer / Business Analyst,romania,2021-07,,Codeless Technology B.V.,1
92,Power Platform Developer,romania,2023-09,,Atos,6
92,Freelance Graphic Designer,romania,2022-04,2024-12,Etsy Shop,5
92,Photographer/Photo Editor,romania,2015-03,2023-04,Self-employed,4
92,Photographer,romania,2022-09,2023-03,Summit Management Systems LLC,3
92,Retail Store Manager,romania,2020-04,2022-03,Profi Rom Food SRL,2
92,Assistant Manager,romania,2018-03,2020-04,Piper Food and Beverages SRL,1
93,Project Support Administrator,romania,2025-06,,Potentiam Ltd,4
93,Low Code Developer,romania,2024-03,2024-05,Codeless Technology B.V.,3
93,Economic Secretary,romania,2022-07,2022-12,Cabinet de expertiză contabilă Popa Ioana Anda,2
93,Intern,romania,2022-05,2022-07,,1
94,Senior Data Analyst,romania,2025-03,,KRUK România,5
94,Data Analyst,romania,2023-06,2025-03,KRUK România,4
94,Junior Low-Code Developer,romania,2022-03,2023-05,Encorsa,3
94,Department Manager,romania,2019-02,2022-03,Decathlon România,2
94,Retail Assistant,romania,2016-07,2019-01,Decathlon România,1
95,Low Code Developer,romania,2023-10,,Codeless Technology B.V.,2
95,Low Code Developer,romania,2023-07,2023-10,Codeless Technology B.V.,1
96,Low-code developer,romania,2024-06,,Codeless Technology B.V.,3
96,Low-code developer trainee,romania,2024-03,2024-06,Codeless Technology B.V.,2
96,Intern Administration Support,romania,2022-07,2024-02,Vitesco Technologies,1
97,Low Code Developer,romania,2023-05,,Codeless Technology B.V.,2
97,Software Development Engineer,romania,2022-07,2023-05,Ambit Group,1
98,Head of Low-Code BPMS,romania,2022-01,,Encorsa,4
98,Software Developer,romania,2020-11,2022-01,Encorsa,3
98,Software Developer ASP.NET,romania,2019-05,2020-11,Alpha Bank Romania,2
98,Software Developer ASP.NET,romania,2018-11,2019-05,Borg Design,1
99,Data Analyst,romania,2025-04,,YouGov,3
99,Low Code Developer,romania,2024-03,2024-05,Codeless Technology B.V.,2
99,Requirements Analyst intern,romania,2022-06,2022-08,Yonder,1
100,No-code Developer (n8n & AI Automation),romania,2025,,Self-Employed,5
100,Automation Specialist,romania,2023,2024,targetolog,4
100,Tourism Manager,romania,2013,2015,,3
100,Guest Relations Specialist,romania,2010,2013,,2
100,Tourism Manager,romania,2005,2010,,1
101,Associate Professor,romania,2023-10,,Universitatea „Alexandru Ioan Cuza” din Iași,3
101,Low Code Developer,romania,2021-10,,Codeless Technology B.V.,2
101,Low Code Developer Intern,romania,2021-07,2021-10,Codeless Technology B.V.,1
102,AI Specialist,romania,2025-12,,Transilvania Healing Centre,2
