profile_id,job_title,country,start_date,end_date,company,position_in_career,job_label,seniority_level,duration_months
4,Software Engineer,sweden,2014-02,2014-11,Ministério da Integração e do Desenvolvimento Regional,3,Traditional Software Development,3,9
4,Web Developer and Designer,sweden,2011-05,2012-11,,2,Traditional Software Development,3,18
4,Intern,sweden,2010-08,2011-05,,1,Other,1,9
5,Founding Product Designer,sweden,2019-07,,UI Bakery,6,Other,7,80
5,Low-code and Webflow developer,sweden,2022-08,2025-11,Self-Employed,5,Low-Code/No-Code Development,3,39
5,Product Designer,sweden,2019-07,2022-01,Akveo,4,Other,3,30
5,Senior UX/UI Designer,sweden,2018-02,2019-09,,3,Other,4,19
5,UX/UI Designer,sweden,2016-04,2018-02,EffectiveSoft Corporation,2,Other,3,22
5,web-designer,sweden,2015-01,2016-04,freelance,1,Other,3,15
6,Operations Manager,romania,2006-02,,ORPAK,3,Other,6,241
6,Programmer,romania,2001,2003,Eurosoft Communication,2,Traditional Software Development,3,24
6,Programmer,romania,2001,2003,GFS Communications,1,Traditional Software Development,3,24
7,Software Engineer,romania,2022-07,,Deutsche Bank,2,Traditional Software Development,3,44
7,Team Member of Incoming Internships,romania,2020-08,2021-01,AIESEC in Romania,1,Other,1,5
8,Technical Solutions Specialist,Romania,2022-03,,Orange Romania Communications,3,Other,3,48
8,Technical Solutions Specialist,Romania,2007-10,2022-03,Telekom Romania,2,Other,3,173
8,Customer Service Specialist,Romania,1997-11,2007-10,Romtelecom,1,Other,3,119
9,Application Expert,romania,2024-10,,Dr. Max Romania,4,Other,4,17
9,Application Expert,romania,2018-08,2025-03,High Tech Systems& Software SRL,3,Other,4,79
9,IT Technician,romania,2008-02,2018-08,MASTER COMPUTERS SRL,2,Other,3,126
9,"IT Technician, Sales Consultant",romania,2006-04,2008-02,Mobexpert,1,Other,3,22
10,Technical Project Manager,romania,2020-11,,Acrelec Software,4,Other,6,64
10,Technical Engineer,romania,2019-09,2020-11,Microsoft,3,Other,3,14
10,Technical Engineer Intern,romania,2018-07,2018-10,Microsoft,2,Other,1,3
10,Software Developer Intern,romania,2018-03,2018-06,Deutsche Bank,1,Traditional Software Development,1,3
11,Chapter Lead,romania,2025-02,,ING Hubs Romania,4,Other,5,13
11,Software Engineer,romania,2019-07,2025-02,ING Hubs Romania,3,Traditional Software Development,3,67
11,Undergraduate Teaching Assistant,romania,2019-02,2023-06,"Facultatea de Automatică și Calculatoare, UPB",2,Other,1,52
11,Software Engineer,romania,2018-07,2019-01,ING Tech Romania,1,Traditional Software Development,3,6
12,Chief Executive Officer,romania,2024-03,,SII Romania,10,Other,7,24
12,Director of Operations,romania,2017-09,2024-03,SII Romania,9,Other,6,78
12,Business Unit Manager,romania,2014-01,2024-03,SII Romania,8,Other,6,122
12,Project Manager and team leader,romania,2013-11,2014-01,SII Romania,7,Other,6,2
12,Implementation Team Manager,romania,2011-01,2013-11,TotalSoft,6,Other,6,34
12,Project Manager and team leader,romania,2011-01,2013-11,TotalSoft,5,Other,6,34
12,Senior Technical and Business Consultant,romania,2011-01,2013-03,TotalSoft,4,Other,4,26
12,Software Developer & Team Leader,romania,2007-09,2011-01,TotalSoft,3,Traditional Software Development,5,40
12,Assistant lecturer,romania,2008-10,2009-10,Academy of Economic Studies in Bucharest,2,Other,3,12
12,Software Developer,romania,2005-11,2007-09,Intelliblocks Software SRL,1,Traditional Software Development,3,22
13,Managing Director,romania,2008-02,,Man and Machine Romania,4,Other,7,217
13,Director Of Sales Marketing,romania,2005-09,2008-02,,3,Other,6,29
13,GIS Product Manager,romania,1999-03,2005-09,,2,Other,6,78
13,Computer Aided Design Engineer,romania,1994-06,1999-03,Ministry of Public Works and Territory Planning,1,Other,3,57
14,Senior Software Development Engineer,romania,2024-03,,Orange Services,3,Traditional Software Development,4,24
14,Software Engineer,romania,2014-10,2024-02,Orange Romania,2,Traditional Software Development,3,112
14,Web Developer Intern,romania,2013-06,2013-09,CBN IT Business Solutions,1,Traditional Software Development,1,3
15,Team Manager,romania,2024-02,,Emposo,7,Other,6,25
15,Full Stack Developer,romania,2023-06,,Emposo,6,Traditional Software Development,3,33
15,Full Stack Developer,romania,2022-03,2023-06,Hays Technology Solutions Romania,5,Traditional Software Development,3,15
15,Software Engineer - Python Developer,romania,2020-08,2022-03,Expleo Group,4,Traditional Software Development,3,19
15,Recruitment Specialist,romania,2018-05,2020-08,,3,Other,3,27
15,Recruitment Officer,romania,2017-06,2020-08,EPLO (European Public Law Organization),2,Other,3,38
15,Intern,romania,2015-07,2015-09,EPLO (European Public Law Organization),1,Other,1,2
16,Information Technology Application Manager,romania,2024-11,,Raiffeisen Tech Romania,7,Other,6,16
16,IT Application Owner / OCR platform / Shared Applications and Services,romania,2023-02,2024-11,Deutsche Bank,6,Other,3,21
16,Application Management Support Engineer / Robotics&OCR / ShAPS / TDI,romania,2022-02,2023-03,,5,Other,3,13
16,Application Support Specialist,romania,2021-02,2022-01,Luxoft,4,Other,3,11
16,Junior Systems Engineer,romania,2020-01,2021-01,Microgreens Romania,3,Traditional Software Development,2,12
16,Junior Systems Engineer,romania,2019-10,2019-12,Microsera,2,Traditional Software Development,2,2
16,Technical Intern,romania,2019-06,2019-09,,1,Other,1,3
17,Program Manager,romania,2021-03,,Paddy Power Betfair,5,Other,6,60
17,Project Manager,romania,2010-02,,,4,Other,6,193
17,Java Developer,romania,2008-01,2010-03,,3,Traditional Software Development,3,26
17,Java Developer,romania,2007,2008,ISDC,2,Traditional Software Development,3,12
17,Developer,romania,2006-10,2007-12,ISDC Romania,1,Traditional Software Development,3,14
18,Software Engineer,romania,2024-12,,Flightloop,3,Traditional Software Development,3,15
18,Software Developer,romania,2023-07,2024-11,Scorebuzzer,2,Traditional Software Development,3,16
18,Software Engineer Internship,romania,2022-12,2023-06,iLabs,1,Traditional Software Development,1,6
19,Software Test Engineer,romania,2022-12,,E.ON Software Development,5,Traditional Software Development,3,39
19,Test Engineer,romania,2021-12,2023-02,NTT DATA,4,Traditional Software Development,3,14
19,Test Engineer,romania,2021-06,2021-12,Signant Health,3,Traditional Software Development,3,6
19,Software Test Engineer,romania,2020-12,2021-06,UniCredit Services,2,Traditional Software Development,3,6
19,Quality Assurance Specialist,romania,2018-11,2020-12,"Xivic, Inc.",1,Other,3,25
20,Software Engineer,romania,2025-12,,T-Systems International,4,Traditional Software Development,3,3
20,Software Engineer,romania,2023-12,2025-11,MHP – A Porsche Company,3,Traditional Software Development,3,23
20,Software Engineer,romania,2021-11,2023-11,Deutsche Bank,2,Traditional Software Development,3,24
20,Software Engineer Intern,romania,2021-07,2021-10,,1,Traditional Software Development,1,3
21,Software Engineer,romania,2025-10,,Google,4,Traditional Software Development,3,5
21,Software Engineer,romania,2023-07,2025-10,Deutsche Bank,3,Traditional Software Development,3,27
21,Junior Software Developer,romania,2022-09,2023-05,Ceragon Networks,2,Traditional Software Development,2,8
21,Intern Software Developer,romania,2022-07,2022-09,Ceragon Networks,1,Traditional Software Development,1,2
22,Software Engineer,romania,2023-09,,Deutsche Bank,3,Traditional Software Development,3,30
22,Student,romania,2023-03,2023-09,DB Cloud School,2,Other,1,6
22,Intern,romania,2022-07,2022-08,OMV Petrom,1,Other,1,1
23,Software Development Team Lead,romania,2025-09,,AUMOVIO,5,Other,5,6
23,Conti Teacher for Tech Club for Children,romania,2021-08,2025-09,Continental,4,Other,3,49
23,Continental Ambassador,romania,2019-04,2025-09,Continental,3,Other,3,77
23,Software Development Team Leader,romania,2018-04,2025-09,Continental,2,Other,5,89
23,Software Engineer,romania,2013-07,2018-04,Continental,1,Traditional Software Development,3,57
24,Software Developer,romania,2021-12,,Adobe,4,Traditional Software Development,3,51
24,Software Engineer Intern,romania,2023-07,2023-12,Adobe,3,Traditional Software Development,1,5
24,Junior Instructor,romania,2022-03,2023-09,Academia Cisco UPB,2,Other,2,18
24,Software Engineer Intern,romania,2022-06,2022-09,Dell Technologies,1,Traditional Software Development,1,3
25,Java Software Engineer,romania,2025-11,,Mindera,4,Traditional Software Development,3,4
25,Java Software Developer,romania,2017-11,2025-11,Endava,3,Traditional Software Development,3,96
25,Software Developer,romania,2015-05,2017-05,Siemens,2,Traditional Software Development,3,24
25,Software Developer,romania,2011-10,2015-04,Accenture,1,Traditional Software Development,3,42
26,Senior Software Development Engineer,romania,2025-03,,Adobe,4,Traditional Software Development,4,12
26,Software Development Engineer,romania,2020-12,2025-03,Adobe,3,Traditional Software Development,3,51
26,Software Engineer Intern,romania,2020-07,2020-10,Adobe,2,Traditional Software Development,1,3
26,Software Engineer Intern,romania,2019-07,2019-10,Adobe,1,Traditional Software Development,1,3
27,Software Developer,romania,2022-07,,Deutsche Bank,2,Traditional Software Development,3,44
27,Student,romania,2022-03,2022-05,Cegeka,1,Other,1,2
28,Software Developer,romania,2025-07,,Deutsche Bank,1,Traditional Software Development,3,8
29,Software Engineer,romania,2024-10,,Bandwidth Inc.,5,Traditional Software Development,3,17
29,Software Engineer,romania,2022-11,2024-10,Ness Digital Engineering,4,Traditional Software Development,3,23
29,Software Engineer,romania,2021-04,2022-10,Mambu,3,Traditional Software Development,3,18
29,Back End Developer,romania,2019-06,2021-04,CGM Software Romania,2,Traditional Software Development,3,22
29,Working Student,romania,2018-09,2019-03,Continental,1,Other,1,6
30,Software Development Engineer,romania,2025-05,,Orange,3,Traditional Software Development,3,10
30,Junior Software Development Engineer,romania,2022-09,2025-05,Orange,2,Traditional Software Development,2,32
30,Full-stack Developer Intern,romania,2021-07,2021-09,Else Digital Solutions,1,Traditional Software Development,1,2
31,Software Development Engineer,romania,2025-01,,Adobe,3,Traditional Software Development,3,14
31,Software Engineer Intern,romania,2024-07,2024-12,Adobe,2,Traditional Software Development,1,5
31,Big Data Developer,romania,2022-06,2023-09,Orange Services,1,Traditional Software Development,3,15
32,C++/C# Developer,romania,2025-02,,Cognyte,5,Traditional Software Development,3,13
32,Software Engineer,romania,2024-02,2025-01,Luxoft,4,Traditional Software Development,3,11
32,Software Engineer,romania,2023-03,2024-01,Luxoft,3,Traditional Software Development,3,10
32,Software Engineer,romania,2021-11,2023-03,Luxoft,2,Traditional Software Development,3,16
32,Intern,romania,2021-07,2021-09,Luxoft,1,Other,1,2
33,Software Development Team Lead,romania,2019-09,,Arezzo Sky,3,Other,5,78
33,Software Developer,romania,2013-03,2019-08,Optymyze,2,Traditional Software Development,3,77
33,Software Developer Engineer,romania,2012-08,2012-12,Amazon,1,Traditional Software Development,3,4
34,Embedded Software Engineer,romania,2023-08,,ifm,6,Traditional Software Development,3,31
34,Ambassador,romania,2023-02,2023-08,Continental,5,Other,3,6
34,Software Development Engineer,romania,2021-12,2023-08,Continental,4,Traditional Software Development,3,20
34,Conti Teacher,romania,2022-09,2023-05,Continental,3,Other,0,8
34,Internship,romania,2021-11,2022-02,Nagarro,2,Other,1,3
34,Junior Software developer,romania,2019-06,2020-05,Bertrandt,1,Traditional Software Development,2,11
35,Senior Full Stack Software Developer,romania,2015-09,,TOPMOTIVE Gruppe,2,Traditional Software Development,4,126
35,Software Developer,romania,2012-09,2015-09,Sysgenic,1,Traditional Software Development,3,36
36,Software Development Engineer,romania,2024-04,,Magna Electronics Limited,3,Traditional Software Development,3,23
36,Junior Software Engineer,romania,2023-08,2024-03,Vitesco Technologies,2,Traditional Software Development,2,7
36,Software Internship for Control Technology Customer SW,romania,2022-07,2023-07,,1,Traditional Software Development,1,12
37,Software Developer,romania,2023-03,,UniCredit,4,Traditional Software Development,3,36
37,Junior Software Developer,romania,2022-11,2023-02,UniCredit,3,Traditional Software Development,2,3
37,Software Development Engineer,romania,2021-07,2022-02,Ambit Group AG,2,Traditional Software Development,3,7
37,Intern,romania,2020-07,2020-09,IT LABS RD,1,Other,1,2
38,Software Development Engineer,romania,2022-08,,Adobe,3,Traditional Software Development,3,43
38,Software Engineer Intern,romania,2021-10,2022-07,Adobe,2,Traditional Software Development,1,9
38,Software Engineer Intern,romania,2021-07,2021-09,Adobe,1,Traditional Software Development,1,2
39,Senior Java Software Engineer,romania,2021-01,,Lottoland,4,Traditional Software Development,4,62
39,Java Developer,romania,2018-07,2021-01,Lottoland,3,Traditional Software Development,3,30
39,Java Developer,romania,2014-08,2018-06,Paddy Power Betfair,2,Traditional Software Development,3,46
39,Internship,romania,2012-07,2012-10,Nokia,1,Other,1,3
40,Senior Software Developer,romania,2024-09,,Libra Internet Bank,6,Traditional Software Development,4,18
40,Software Development Engineer,romania,2018-04,2024-07,Bento - Intellectually Curious,5,Traditional Software Development,3,75
40,Software Developer,romania,2015-09,2018-04,TotalSoft,4,Traditional Software Development,3,31
40,Software Developer,romania,2014-08,2015-09,Sustainalytics,3,Traditional Software Development,3,13
40,Software Developer,romania,2013-04,2014-08,Squant Development,2,Traditional Software Development,3,16
40,Software Developer,romania,2011-10,2013-04,Indaco Systems,1,Traditional Software Development,3,18
41,Software Engineer,romania,2026-01,,Ford Motor Company,3,Traditional Software Development,3,2
41,Associate Software Engineer,romania,2025-10,2026-01,Deutsche Bank,2,Traditional Software Development,2,3
41,Analyst Software Engineer,romania,2023-07,2025-10,Deutsche Bank,1,Traditional Software Development,3,27
42,Software Engineer,romania,2022-08,,Deutsche Bank,1,Traditional Software Development,3,43
43,Senior Software Developer,romania,2018-06,,SOFTEH PLUS,1,Traditional Software Development,4,93
44,Software Engineer,romania,2021-09,,EPAM System,5,Traditional Software Development,3,54
44,AEM Developer,romania,2021-09,,EPAM System,4,Traditional Software Development,3,54
44,Trainee,romania,2021-03,2021-08,EPAM System,3,Other,1,5
44,Student,romania,2020-09,2021-02,EPAM System,2,Other,1,5
44,Internship,romania,2020-09,2021-02,EPAM System,1,Other,1,5
45,Software Engineer,romania,2025-07,,Deutsche Bank,4,Traditional Software Development,3,8
45,Software Engineer Intern,romania,2025-04,2025-06,AROBS Engineering,3,Traditional Software Development,1,2
45,DevOps Engineer,romania,2024-08,2024-10,ING Hubs Romania,2,Traditional Software Development,3,2
45,NOC Engineer,romania,2023-11,2024-08,Revel,1,Traditional Software Development,3,9
46,Solutions Engineer,romania,2024-01,2025-11,Retool,5,Other,3,22
46,Software Engineer,romania,2022-10,2023-01,Meta,4,Traditional Software Development,3,3
46,Software Engineer Intern,romania,2021-05,2021-08,Facebook,3,Traditional Software Development,1,3
46,Software Engineer Intern,romania,2020-05,2020-08,Facebook,2,Traditional Software Development,1,3
46,Facebook University Engineering Intern,romania,2019-06,2019-08,Facebook,1,Traditional Software Development,1,2
47,Software Developer,romania,2023-03,,Blue Kitsunebi,1,Traditional Software Development,3,36
48,Senior Software Developer,romania,2023-06,,Tremend Software Consulting,6,Traditional Software Development,4,33
48,Senior Software Engineer,romania,2021-11,2023-05,Endava,5,Traditional Software Development,4,18
48,Software Developer,romania,2010-09,2021-11,DRÄXLMAIER Group,4,Traditional Software Development,3,134
48,Freelancer,romania,2011-06,2013-04,SWS eMarketing,3,Other,3,22
48,Intern,romania,2010-03,2010-05,Dacia,2,Other,1,2
48,Junior Programmer,romania,2009-02,2009-10,SC GO BUSINESS SOLUTION SRL,1,Traditional Software Development,2,8
49,System Software Engineer,romania,2024-10,,New Business Dimensions,5,Traditional Software Development,3,17
49,Business Intelligence Consultant,romania,2022-08,2024-09,msg Plaut Romania,4,Other,3,25
49,Appian Certified Associate Developer,romania,2022-01,2022-08,Crystal System,3,Low-Code/No-Code Development,3,7
49,Technical Consultant,romania,2019-04,2022-08,Crystal System S.R.L,2,Other,3,40
49,Programmer,romania,2022-03,2022-07,,1,Traditional Software Development,3,4
50,Java Developer,romania,2025-03,,Coface,4,Traditional Software Development,3,12
50,Software Engineer,romania,2022-08,2025-03,Dell Technologies,3,Traditional Software Development,3,31
50,Software Engineer Intern,romania,2022-02,2022-08,Dell Technologies,2,Traditional Software Development,1,6
50,Full-stack Developer,romania,2021-09,2021-10,AQUASoft,1,Traditional Software Development,3,1
51,Software Developer,romania,2024-04,,Sitline Technology,5,Traditional Software Development,3,23
51,Web Developer,romania,2023-08,2023-12,Solf Tech IT Group Solutions,4,Traditional Software Development,3,4
51,Web Development Trainee,romania,2023-07,2023-08,IBM,3,Traditional Software Development,1,1
51,Volunteer Software Developer,romania,2021-09,2023-07,ArtByte,2,Traditional Software Development,3,22
51,Web Development Trainee,romania,2022-03,2022-04,IBM,1,Traditional Software Development,1,1
52,Advanced Software Engineer,romania,2026-03,,BearingPoint,6,Traditional Software Development,4,0
52,Software Engineer,romania,2025-03,2026-02,BearingPoint,5,Traditional Software Development,3,11
52,Frontend Developer,romania,2023-12,2025-02,BearingPoint,4,Traditional Software Development,3,14
52,Frontend Intern,romania,2023-05,2023-11,BearingPoint,3,Traditional Software Development,1,6
52,Web Development Instructor,romania,2023-01,2023-04,Software Development Academy,2,Other,3,3
52,Jury Member,romania,2020-11,2022-12,ADFABER,1,Other,0,25
53,Senior Software Engineer,romania,2025-01,,Adobe,6,Traditional Software Development,4,14
53,Software Engineer,romania,2023-07,,Adobe,5,Traditional Software Development,3,32
53,Software Engineer,romania,2017-05,2023-07,Adobe,4,Traditional Software Development,3,74
53,Software Consultant,romania,2016-03,2017-05,ALTEN,3,Other,3,14
53,Analyst,romania,2014,2016-03,Axway,2,Other,3,26
53,Programming Assistant,romania,2013-06,2014-05,Intel Corporation,1,Traditional Software Development,3,11
54,Software Engineer,romania,2024-03,,4PSA,4,Traditional Software Development,3,24
54,SQA Automation Engineer,romania,2021-07,,4PSA,3,Traditional Software Development,3,56
54,SQA Automation Engineer,romania,2021-02,2021-06,4PSA,2,Traditional Software Development,3,4
54,SQA Engineer Intern,romania,2020-11,2021-01,4PSA,1,Traditional Software Development,1,2
55,Software Engineer,romania,2025-03,,Electronic Arts (EA),9,Traditional Software Development,3,12
55,Embedded Software Engineer,romania,2023-10,2024-12,HTEC Group,8,Traditional Software Development,3,14
55,Technical Lead / Product Owner,romania,2022-02,2023-10,HARMAN International,7,Other,5,20
55,Technical Team Lead,romania,2020-12,2022-02,HARMAN International,6,Other,5,14
55,Senior Engineer,romania,2017-01,2020-12,HARMAN International,5,Traditional Software Development,4,47
55,Senior Technical Consultant,romania,2016-04,2017-01,Misys,4,Other,4,9
55,C++ Developer,romania,2014-02,2016-04,Luxoft,3,Traditional Software Development,3,26
55,Software Engineer in Test,romania,2012-11,2014-02,Electronic Arts,2,Traditional Software Development,3,15
55,Software Engineer,romania,2011-07,2012-08,Misys Banking Systems,1,Traditional Software Development,3,13
56,Software Development Lead,romania,2019-06,,Anylyze,4,Traditional Software Development,5,81
56,Software Testing Lead,romania,2018-10,2019-06,Arezzo Sky,3,Other,5,8
56,Senior Software Test Engineer,romania,2014-07,2018-10,Arezzo Sky,2,Traditional Software Development,4,51
56,Software Automation Test Developer,romania,2011-08,2014-07,Arezzo Sky,1,Traditional Software Development,3,35
57,Senior Software Engineer,romania,2021-09,,Endava,3,Traditional Software Development,4,54
57,Software Engineer,romania,2017,2021,Ministry of National Defence - Romania,2,Traditional Software Development,3,48
57,.NET Developer,romania,2020,2020,Freelancer,1,Traditional Software Development,3,0
58,Frontend Developer,romania,2024-09,,,14,Traditional Software Development,3,18
58,Frontend Developer,romania,2023-08,2024-09,Luxoft,13,Traditional Software Development,3,13
58,Developer,romania,2022-12,2023-05,Endava,12,Traditional Software Development,3,5
58,Junior Developer,romania,2021-08,2022-11,Luxoft,11,Traditional Software Development,2,15
58,Trainee,romania,2020-08,2021-11,Te Fac Programator,10,Other,1,15
58,Junior Software Developer,romania,2021-04,2021-07,UNICORN IT SERVICES,9,Traditional Software Development,2,3
58,Junior Backend Developer,romania,2021-02,2021-04,UNICORN IT SERVICES,8,Traditional Software Development,2,2
58,Trainee at School for .NET,romania,2021-02,2021-03,Endava,7,Traditional Software Development,1,1
58,Geographic Information System Specialist,romania,2019-01,2020-07,AECOM,6,Other,3,18
58,Master Data Analyst,romania,2018-10,2018-12,Molson Coors,5,Other,3,2
58,Researcher,romania,2017-07,2018-10,BRAT - Biroul Roman de Audit Transmedia,4,Other,3,15
58,Research Assistant,romania,2016-03,2017-09,Centre for Environmental Research and Impact Studies - CCMESI,3,Other,3,18
58,Geographic Information System Specialist,romania,2016-02,2016-05,AECOM,2,Other,3,3
58,Geographic Information System Specialist,romania,2014-07,2014-12,AECOM,1,Other,3,5
59,MES MOM Associate,romania,2024-08,2024-09,Accenture Romania,3,Other,3,1
59,Junior Software Developer,romania,2022-09,2023-03,ArtSoft Consult,2,Traditional Software Development,2,6
59,Software Developer,romania,2022-07,2022-08,ArtSoft Consult,1,Traditional Software Development,3,1
60,Software Test Engineer II,romania,2023-09,,Suvoda,3,Traditional Software Development,3,30
60,Software Test Engineer I,romania,2022-09,2023-09,Suvoda,2,Traditional Software Development,3,12
60,Software Testing Intern,romania,2022-06,2022-09,Suvoda,1,Traditional Software Development,1,3
61,Software Developer,romania,2021-08,,NetRom Software,3,Traditional Software Development,3,55
61,Summer Intern,romania,2021-06,2021-07,NetRom Software,2,Other,1,1
61,Intern,romania,2021-05,2021-06,NetRom Software,1,Other,1,1
62,Software Developer,romania,2025-02,,Dennemeyer,7,Traditional Software Development,3,13
62,Software Developer,romania,2021-11,2025-02,Waters Corporation,6,Traditional Software Development,3,39
62,Volunteer,romania,2018-10,2022-01,Board of European Students of Technology,5,Other,0,39
62,Treasurer and Corporate Relations Department Coordinator,romania,2020-07,2021-06,Board of European Students of Technology,4,Other,3,11
62,Main Organizer of BEST Course in Summer 2021,romania,2019-09,2020-10,Board of European Students of Technology,3,Other,0,13
62,Software Developer Intern,romania,2021-02,2021-07,PeoplePower Romania,2,Traditional Software Development,1,5
62,Intern,romania,2020-07,2020-10,Kronsoft Development,1,Other,1,3
63,Senior Software Consultant,romania,2021-06,,Self-employed,7,Traditional Software Development,4,57
63,Senior Software Engineer,romania,2022-10,2025-10,Ding,6,Traditional Software Development,4,36
63,Senior Software Engineer,romania,2021-12,2022-07,Soolutions,5,Traditional Software Development,4,7
63,Senior Software Engineer,romania,2017-11,2021-05,Lateral Inc.,4,Traditional Software Development,4,42
63,Java Software Engineer,romania,2016-04,2017-11,Paddy Power Betfair,3,Traditional Software Development,3,19
63,Java Web Developer,romania,2015-03,2016-04,Bosch Group Romania,2,Traditional Software Development,3,13
63,Freelance Web Developer,romania,2013-08,2015-03,PFA,1,Traditional Software Development,3,19
64,Senior Software Engineer,romania,2022-08,,Luminos Labs,5,Traditional Software Development,4,43
64,Full-Stack Developer,romania,2019-09,2024-08,OPEN,4,Traditional Software Development,3,59
64,Full-stack Developer,romania,2018-08,2019-09,Soft Pepper,3,Traditional Software Development,3,13
64,Student Intern,romania,2018-03,2018-04,Soft Pepper,2,Other,1,1
64,Key Account,romania,2016-06,2016-11,Advice Group Media,1,Other,3,5
65,Java Developer,romania,2018-09,,Endava,4,Traditional Software Development,3,90
65,Java Software Developer,romania,2017-08,2018-08,Tangoe,3,Traditional Software Development,3,12
65,Software Engineer Team Lead - Technical Support Team,romania,2015-05,2017-06,Asentinel,2,Other,5,25
65,Software Engineer - Level 3 Technical Support,romania,2013-08,2015-05,,1,Other,3,21
66,Web Developer,romania,2020-09,2026-01,easyBoard GmbH,3,Traditional Software Development,3,64
66,Software Engineer,romania,2016-09,2020-09,Lynx Solutions SRL,2,Traditional Software Development,3,48
66,Full-stack Developer,romania,2014-10,2016-09,InnoWEB Solutions SRL,1,Traditional Software Development,3,23
67,Software Developer,romania,2023-06,,Orange Services,3,Traditional Software Development,3,33
67,Frontend Developer,romania,2019-07,2023-06,Levi9 Romania,2,Traditional Software Development,3,47
67,Web Developer Internship,romania,2018-07,2018-08,Sigma AppDev,1,Traditional Software Development,1,1
68,Software Engineer,romania,2022-02,,,11,Traditional Software Development,3,49
68,Programmer,romania,2019-01,2019-12,Expert IT Solutions,10,Traditional Software Development,3,11
68,Programmer,romania,2019-06,2019-10,Gloobus,9,Traditional Software Development,3,4
68,Programmer,romania,2018-02,2018-03,AdamsVision,8,Traditional Software Development,3,1
68,Programmer,romania,2017-06,2018-02,X-Data,7,Traditional Software Development,3,8
68,Software Developer,romania,2017-01,2017-04,Elastoffice Hungary Ltd.,6,Traditional Software Development,3,3
68,Ios Developer,romania,2016-11,2016-11,appforte,5,Traditional Software Development,3,0
68,Full Stack Developer,romania,2016-06,2016-10,Primal Skill,4,Traditional Software Development,3,4
68,Sales Representative,romania,2016-01,2016-10,Nu Skin Enterprises,3,Other,3,9
68,Web developer,romania,2013,2015-08,RoundAssist Inc.,2,Traditional Software Development,3,31
68,Developer,romania,2013,2015,VoiceMailTel,1,Traditional Software Development,3,24
69,Software Development Engineer II,romania,2023-08,,Amazon,5,Traditional Software Development,3,31
69,Senior Software Engineer C++,romania,2017-11,2023-08,TiVo Romania Engineering Center (TREC),4,Traditional Software Development,4,69
69,"Software Engineer C++, QT",romania,2014-08,2017-11,Continental,3,Traditional Software Development,3,39
69,"Software Engineer Internship C++, Qt",romania,2013-07,2013-09,Continental,2,Traditional Software Development,1,2
69,Software Developer Internship C++,romania,2012-11,2013-04,Comodo,1,Traditional Software Development,1,5
70,Software Engineering Sr. Analyst,romania,2014-04,,Accenture Industrial Software Solutions,2,Traditional Software Development,4,143
70,Software Engineer,romania,2011-10,2014-03,evoline Professional Services,1,Traditional Software Development,3,29
71,Software Engineer,romania,2024-02,,Murex,3,Traditional Software Development,3,25
71,Junior Software Engineer,romania,2022,2024,Deutsche Bank,2,Traditional Software Development,2,24
71,Junior Software Engineer,romania,2021-09,2022-03,Thales,1,Traditional Software Development,2,6
72,Development Team Lead,romania,2015-09,,TOPMOTIVE Gruppe,3,Other,5,126
72,Software Developer,romania,2015-09,2024-10,DVSE GmbH,2,Traditional Software Development,3,109
